date,sale,stock,price
2020-03-11,48,5549,1.09
2020-03-12,45,5504,1.29
2020-03-13,78,4659,1.29
2020-03-14,122,4537,1.29
2020-03-16,116,4274,1.29
2020-03-17,48,4228,1.29
2020-03-18,29,4199,1.29
2020-03-19,91,4107,1.29
2020-03-20,59,4048,1.29
2020-03-21,68,3980,1.29
2020-03-22,137,3843,1.28
2020-03-23,56,3787,1.29
2020-03-24,13,3774,1.29
2020-03-25,45,3729,1.29
2020-03-26,25,3704,1.29
2020-03-27,25,3679,1.29
2020-03-28,174,3505,1.19
2020-03-29,138,3367,1.09
2020-03-30,64,3303,1.09
2020-03-31,77,3226,1.09
2020-04-01,62,3164,1.09
2020-04-02,119,3045,1.09
2020-04-03,89,2956,1.09
2020-04-04,133,2823,1.09
2020-04-05,180,2643,1.09
2020-04-06,121,2522,1.09
2020-04-07,72,2450,1.09
2020-04-08,91,2359,1.09
2020-04-09,53,2306,1.09
2020-04-10,47,2259,1.09
2020-04-11,42,2217,1.09
2020-04-12,124,2092,1.09
2020-04-13,97,1995,1.09
2020-04-14,119,1875,1.09
2020-04-15,34,1841,1.29
2020-04-16,18,1823,1.29
2020-04-17,24,1799,1.29
2020-04-18,57,1742,1.29
2020-04-19,61,1681,1.29
2020-04-20,30,1651,1.29
2020-04-21,96,1554,1.29
2020-04-22,0,1525,1.29
2020-04-23,37,1488,1.29
2020-04-24,30,1458,1.29
2020-04-25,38,1420,1.29
2020-04-26,88,1332,1.29
2020-04-27,64,1268,1.29
2020-04-28,13,1255,1.29
2020-04-29,20,1255,1.29
2020-04-30,31,1457,1.29
2020-05-01,129,1263,1.29
2020-05-02,94,1169,1.29
2020-05-03,129,1904,1.29
2020-05-04,126,1778,1.29
2020-05-05,70,1708,1.29
2020-05-06,48,1708,1.29
2020-05-07,123,2044,1.29
2020-05-08,87,1930,1.29
2020-05-09,65,1961,1.29
2020-05-10,102,1859,1.29
2020-05-11,78,1781,1.29
2020-05-12,49,1828,1.29
2020-05-13,0,1800,1.29
2020-05-14,68,1687,1.09
2020-05-15,102,1969,1.09
2020-05-16,88,1977,1.09
2020-05-17,170,1807,1.09
2020-05-18,152,1655,1.09
2020-05-19,90,1661,1.09
2020-05-20,101,1751,1.09
2020-05-21,71,1680,1.43
2020-05-22,48,2022,1.49
2020-05-23,40,1976,1.49
2020-05-24,93,1883,1.49
2020-05-25,45,1838,1.49
2020-05-26,58,1876,1.49
2020-05-27,53,1919,1.49
2020-05-28,42,3317,1.49
2020-05-29,52,3841,1.49
2020-05-30,29,3811,1.99
2020-05-31,91,3720,1.99
2020-06-01,75,3645,1.99
2020-06-02,75,3570,1.99
2020-06-03,179,3391,1.19
2020-06-04,252,3140,1.19
2020-06-05,202,2938,1.19
2020-06-06,161,2777,1.19
2020-06-07,331,2446,1.19
2020-06-08,271,2175,1.19
2020-06-09,146,1949,1.19
2020-06-10,2,1946,1.19
2020-06-11,2,2136,1.19
2020-06-12,0,2136,0
2020-06-13,0,2328,1.49
2020-06-14,0,2328,1.49
2020-06-15,13,2315,1.49
2020-06-16,30,2285,1.49
